Case_ID,Hidden_Ground_Truth,Strength,Observation_Quality,Parameter_Gain_Mean,Parameter_Gain_CI_Lower,Parameter_Gain_CI_Upper,Parameter_P,Parameter_Evidence,Structural_Gain_Mean,Structural_Gain_CI_Lower,Structural_Gain_CI_Upper,Structural_P,Structural_Evidence,ETMR_Decision
51,ABSTAIN,0.25,0.6,0.00012946530650859324,7.552139011288142e-05,0.0001804913595333268,1.0,1.0,-0.010420950519451211,-0.014627803809297436,-0.006469557812435691,0.0,0.0,ABSTAIN
52,ABSTAIN,0.25,0.4,0.00010326115992547222,5.3937586313733236e-05,0.00015260890412148383,1.0,1.0,-0.011424385461955204,-0.015206800413295168,-0.007829688341489479,0.0,0.0,ABSTAIN
53,ABSTAIN,0.5,1.0,0.00021708743711537344,0.00016913628662172534,0.00026810374256677744,1.0,1.0,0.0012014878729821672,-0.0017274457122403613,0.004192384649836331,0.786,0.5720000000000001,RECALIBRATE
54,ABSTAIN,0.5,0.8,0.00020635048879657163,0.00015826959705557696,0.0002501410958967687,1.0,1.0,0.0013160593226179634,-0.0012176105198280131,0.003865474304045556,0.819,0.6379999999999999,RECALIBRATE
55,ABSTAIN,0.5,0.6,0.00020572418778951884,0.00015792350665471246,0.00024642412859100885,1.0,1.0,0.0022495307375999425,-0.0006967495721589923,0.0049760196226715445,0.931,0.8620000000000001,ABSTAIN
56,ABSTAIN,0.5,0.4,0.0001926967066271603,0.00014508506156007137,0.00023823223157505615,1.0,1.0,0.0018973675643964708,-0.000994716632907048,0.004962713896027487,0.879,0.758,ABSTAIN
57,ABSTAIN,0.75,1.0,0.0002579874084549306,0.00021284549708186956,0.0003024889683521407,1.0,1.0,0.01611904885998285,0.013049670277069405,0.019194657247443674,1.0,1.0,KEEP
58,ABSTAIN,0.75,0.8,0.00024412272271866358,0.00019568391034157986,0.0002859612114558648,1.0,1.0,0.014378928890641789,0.010761061181335957,0.018088724075827477,1.0,1.0,KEEP
59,ABSTAIN,0.75,0.6,0.00023504814737954782,0.00019379586399485014,0.0002789392118750681,1.0,1.0,0.011609593484872841,0.008174412730628671,0.015470754200347242,1.0,1.0,ABSTAIN
60,ABSTAIN,0.75,0.4,0.0002414350044896538,0.0001988713740093533,0.0002845631130765802,1.0,1.0,0.014994409873587038,0.011371292485924238,0.018695910601042212,1.0,1.0,ABSTAIN
61,ABSTAIN,1.0,1.0,0.0002735905330099028,0.00023039456594104482,0.00031527637202895806,1.0,1.0,0.027572159200489055,0.022865232906297345,0.03230450152959008,1.0,1.0,KEEP
62,ABSTAIN,1.0,0.8,0.0002634378534128842,0.00022063030391254143,0.0003091951725544946,1.0,1.0,0.025770876992834504,0.021412568631548945,0.030132968863702515,1.0,1.0,KEEP
63,ABSTAIN,1.0,0.6,0.00025222482155370707,0.0002086103785079516,0.00029698826349622184,1.0,1.0,0.025501070373932216,0.020929828809713173,0.030460862194805635,1.0,1.0,ABSTAIN
64,ABSTAIN,1.0,0.4,0.00024534385058278186,0.0002019350919881072,0.0002880132111085775,1.0,1.0,0.022694784821726505,0.018182939806416745,0.026849673319762336,1.0,1.0,ABSTAIN
